Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
90,EIA PPII - PLATERO sobre YNC,Phanaeus (Notiophanaeus)gr. chalchomelas,1,1,0.1
91,EIA PPII - PLATERO sobre YNC,Deltochilum (Hybomidium) aff. orbignyi,1,1,0.00001
92,EIA PPII - PLATERO sobre YNC,Dyscinetus dubius,1,1,1
93,EIA PPII - PLATERO sobre YNC,Phyllophaga obsoleta,1,1,1
94,EIA PPII - PLATERO sobre YNC,Hoplophyga liturata,9,9,2
95,EIA PPII - PLATERO sobre YNC,Solenopsis cf. geminata ,722,722,19.83
96,EIA PPII - PLATERO sobre YNC,Platythyrea ,1,1,0.06
97,EIA PPII - PLATERO sobre YNC,Crematogaster brasiliensis,38,38,0.97
98,EIA PPII - PLATERO sobre YNC,Azteca ,18,18,0.3
99,EIA PPII - PLATERO sobre YNC,Mayaponera constricta,18,18,0.52
100,EIA PPII - PLATERO sobre YNC,Crematogaster muelleri,31,31,0.84
101,EIA PPII - PLATERO sobre YNC,Rasopone arhuaca,1,1,0.09
102,EIA PPII - PLATERO sobre YNC,Strumigenys trinidadensis,1,1,0.07
103,EIA PPII - PLATERO sobre YNC,Brachymyrmex cavernicola,1,1,0.17
104,EIA PPII - PLATERO sobre YNC,Discothyrea ,1,1,0.01
105,EIA PPII - PLATERO sobre YNC,Strumigenys perparva,1,1,0.05
